Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2019-02-01 00:00:00,54629,"Fountain City, WI",*,159950.000000,-0.0158,-0.0857,27.0,0.0588,0.2273,142.50,0.2102,,0.0,-1.0000,-1.0000,0.0,,,0.0,-1.0000,,1.5,0.0000,0.5000,194967.0000,-0.0979,0.0815,28.5,0.0556,0.2391,0.0556,-0.0033,0.0101
2019-02-01 00:00:00,54634,"Hillsboro, WI",,122000.000000,0.0613,-0.2670,6.0,0.2000,-0.4000,55.50,0.6087,-0.5664,0.0,,,0.0,,,0.0,,,0.0,,,209900.0000,0.1717,-0.3268,6.0,0.2000,-0.4000,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54636,"Holmen, WI",,319950.000000,0.0775,0.1035,49.0,0.1011,0.0652,62.25,0.1267,0.0969,16.0,0.1429,-0.1111,0.0,,,8.0,0.3333,3.0000,0.0,,,372604.0000,0.0362,0.2648,49.0,0.1011,0.0652,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54646,"Necedah, WI",*,268725.000000,0.1257,,24.5,-0.0755,,160.00,0.0829,-0.2308,0.0,-1.0000,-1.0000,0.0,,,0.0,-1.0000,-1.0000,1.0,0.0000,,304785.0000,0.0976,0.3177,25.5,-0.0727,-0.1053,0.0408,0.0031,0.0408
2019-02-01 00:00:00,54650,"Onalaska, WI",,348950.000000,0.1854,0.1537,36.5,0.0735,-0.2700,58.00,-0.2564,-0.2704,12.0,-0.2500,-0.3333,0.0,,,4.0,0.0000,-0.5000,0.0,,,490085.0000,0.0294,0.3701,36.5,0.0735,-0.2700,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54656,"Sparta, WI",*,249950.000000,0.0000,,37.0,-0.0976,-0.0633,119.00,0.2081,,4.0,-0.3333,-0.5000,0.0,,,2.0,-0.6667,-0.5000,0.0,,,416777.0000,0.0147,0.8313,37.0,-0.0976,-0.0633,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54660,"Tomah, WI",,156175.000000,0.0767,0.0985,62.0,-0.0534,-0.2575,138.25,0.0655,0.1569,4.0,-0.3333,-0.7778,0.0,,,4.0,1.0000,0.0000,0.0,,,188896.0000,0.0333,0.1313,62.0,-0.0534,-0.2575,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54665,"Viroqua, WI",,160750.000000,-0.0389,-0.0681,21.5,-0.0652,-0.2037,124.00,-0.0570,0.3122,6.0,2.0000,-0.4000,0.0,,,0.0,-1.0000,,0.0,,,187608.0000,-0.0126,-0.0888,21.5,-0.0652,-0.2037,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54666,"Warrens, WI",*,143500.000000,0.4107,,12.5,0.0000,-0.1667,121.50,-0.1518,-0.3785,6.0,0.5000,0.5000,0.0,,,0.0,,,0.0,,,174029.0000,0.0255,0.0602,12.5,0.0000,-0.1667,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54667,"Westby, WI",,127000.000000,0.0509,-0.0227,8.0,-0.1579,-0.5000,89.50,-0.1789,0.0437,0.0,-1.0000,,0.0,,,0.0,,,0.0,,,170565.0000,0.2524,-0.2132,8.0,-0.1579,-0.5000,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54669,"West Salem, WI",*,357450.000000,0.0288,0.1994,7.5,-0.4828,-0.5714,154.50,0.1908,,0.0,,-1.0000,0.0,,,0.0,-1.0000,,0.0,-1.0000,,501060.0000,-0.0717,0.4238,7.5,-0.5161,-0.5714,0.0000,-0.0690,0.0000
2019-02-01 00:00:00,54701,"Eau Claire, WI",*,285000.000000,-0.0047,-0.0296,100.5,0.1229,-0.0780,92.75,0.0220,,26.0,-0.0714,-0.4348,0.0,-1.0000,,12.0,-0.1429,0.0000,6.0,0.7143,1.4000,366537.0000,0.0553,0.1756,106.5,0.1452,-0.0448,0.0597,0.0206,0.0368
